No.,発行元,発行元Prefix,管理用ID,年,BOX/シリーズ,BOX/シリーズPrefix,Distribution,カード番号,選手名,チーム名,種別,パラレル/オート,Base / Inserts,シリアルNo.,枚数,状態,ステータス,購入日,購入価格,メモ
25,Topps,tp,tp_2025_S2_#352,2025,Topps Series 2,S2,"Hobby, Retail, Jumbo, Blasters, Retail Rack, Hanger Boxes, Collector's Super Box, Mega Box",#352,--,Chicago White Sox,TC,Vintage Stock Retro,,85/99,1,,所持中,2025-11-24,2000円 / Set,浅草カードショー2025で福袋セット×2を購入
26,Upper Deck,ud,ud_2006_UC_#135,2006,Ultimate Collection,UC,Hobby only,#135,Jose Capellan,Milwaukee Brewers,RC,Autographics,,125/180,1,,所持中,2025-11-24,2000円 / Set,浅草カードショー2025で福袋セット×2を購入
27,Donruss,do,do_2008_DT_#160,2008,Donruss Threads,DT,Hobby,#160,Shelby Ford,Pittsburgh Pirates,RC,Autographics,Elite Extra Edition,097/819,1,,所持中,2025-11-24,2000円 / Set,浅草カードショー2025で福袋セット×2を購入
28,Upper Deck,ud,ud_2008_SA_#AA-12,2008,SP Authentic,SA,Hobby only,#AA-12,Daisuke Matsuzaka,Boston Red Sox,,,Authentic Achievements,,1,,所持中,2025-11-24,2000円 / Set,浅草カードショー2025で福袋セット×2を購入
29,timeasia.com,ta,ta_2003_TA_#NNO,2003,timeasia 2003 APRIL28−MAY5,TA,--,#NNO,Hideki Matsui,New York Yankees,,,,,1,,所持中,2025-11-24,2000円 / Set,浅草カードショー2025で福袋セット×2を購入
30,Topps,tp,tp_2025_TN_#915,2025,Topps NOW,TN,$8.99 per card,#915,Mookie Betts,Los Angeles Dodgers,,,,,1,,所持中,2025-11-02,$8.99,topps.com で初めて購入したNOW。12/2に到着した。ベッツが打撃不調で自分が試合を見ているなかで初めて打順を下げられた日(それでも4番)に試合を決定付けるタイムリーを打った瞬間。WS終盤の負けられない闘いで、大谷との連打が生まれておらず苦しい(なぁと自分でも思っていたところ)展開を打破すべく、ロバーツ監督の采配が的中した日でもある。
246,Topps,tp,tp_2025_US_#ASG-11,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#ASG-11,Jacob Wilson,Athletics,RC,Pink Holo,2025 ALL STAR GAME,,1,,所持中,2025-11-21,"17,380円 / Hobby Box",topps.jp で購入した初Box。
241,Topps,tp,tp_2025_US_#ASG-12,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#ASG-12,Riley Greene,Detroit Tigers,,,2025 ALL STAR GAME,,1,,所持中,2025-11-21,"17,380円 / Hobby Box",topps.jp で購入した初Box。
247,Topps,tp,tp_2025_US_#ASG-23,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#ASG-23,Bobby Witt JR.,Kansas City Royals,,,2025 ALL STAR GAME,,1,,所持中,2025-11-21,"17,380円 / Hobby Box",topps.jp で購入した初Box。
248,Topps,tp,tp_2025_US_#ASG-34,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#ASG-34,Bryan Woo,Seattle Mariners,,,2025 ALL STAR GAME,,1,,所持中,2025-11-21,"17,380円 / Hobby Box",topps.jp で購入した初Box。
249,Topps,tp,tp_2025_US_#ASG-41,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#ASG-41,Alex Bregman,Boston Red Sox,,,2025 ALL STAR GAME,,1,,所持中,2025-11-21,"17,380円 / Hobby Box",topps.jp で購入した初Box。
250,Topps,tp,tp_2025_US_#ASG-46,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#ASG-46,Kris Bubic,Kansas City Royals,,,2025 ALL STAR GAME,,1,,所持中,2025-11-21,"17,380円 / Hobby Box",topps.jp で購入した初Box。
251,Topps,tp,tp_2025_US_#ASG-50,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#ASG-50,Clayton Kershaw,Los Angeles Dodgers,,,2025 ALL STAR GAME,,1,,所持中,2025-11-21,"17,380円 / Hobby Box",topps.jp で購入した初Box。
253,Topps,tp,tp_2025_US_#BG-07,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#BG-07,Matt Shaw,Chicago Cubs,RC,,TOPPS BLACK GOLD,,1,,所持中,2025-11-21,"17,380円 / Hobby Box",topps.jp で購入した初Box。
255,Topps,tp,tp_2025_US_#BR-13,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#BR-13,Mike Trout,Los Angeles Angels,,,BLEACHER REACHERS,,1,,所持中,2025-11-21,"17,380円 / Hobby Box",topps.jp で購入した初Box。
260,Topps,tp,tp_2025_US_#CCA2-ET,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#CCA2-ET,Ezequiel Tovar,Colorado Rockies,,Autographics,CITY CONNECT SWATCH COLLECTION AUTOGRAPH RELIC,,1,,所持中,2025-11-21,"17,380円 / Hobby Box",topps.jp で購入した初Box。
239,Topps,tp,tp_2025_US_#FPU-4,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#FPU-4,Eitan Levine,--,,,FIRST PITCH,,1,,所持中,2025-11-21,"17,380円 / Hobby Box",topps.jp で購入した初Box。
254,Topps,tp,tp_2025_US_#MV-15,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#MV-15,Clayton Kershaw,Los Angeles Dodgers,,,MOST VALUABLE,,1,,所持中,2025-11-21,"17,380円 / Hobby Box",topps.jp で購入した初Box。
252,Topps,tp,tp_2025_US_#MYS-05,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#MYS-05,Elly De La Cruz,Cincinnati Reds,,,MYSTICAL,,1,,所持中,2025-11-21,"17,380円 / Hobby Box",topps.jp で購入した初Box。
240,Topps,tp,tp_2025_US_#U90-09,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#U90-09,Marcelo Mayer,Boston Red Sox,RC,,1990 TOPPS BASEBALL,,1,,所持中,2025-11-21,"17,380円 / Hobby Box",topps.jp で購入した初Box。
