No.,発行元,発行元Prefix,管理用ID,年,BOX/シリーズ,BOX/シリーズPrefix,Distribution,カード番号,選手名,チーム名,種別,パラレル/オート,Base / Inserts,シリアルNo.,枚数,状態,ステータス,購入日,購入価格,メモ
81,Topps,tp,tp_2025_US_#US059,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US059,Caleb Durbin,Milwaukee Brewers,RC,,base,,1,,所持中,2025-11-21,"17,380円 / Hobby Box",topps.jp で購入した初Box。
,Topps,tp,tp_2025_US_#US060,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US060,,,,,base,,,,,,,
200,Topps,tp,tp_2025_US_#US061,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US061,Elvis Alvarado,Athletics,RC,,base,,1,,所持中,2025-11-21,"17,380円 / Hobby Box",topps.jp で購入した初Box。
,Topps,tp,tp_2025_US_#US062,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US062,,,,,base,,,,,,,
82,Topps,tp,tp_2025_US_#US063,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US063,Connor Thomas,Milwaukee Brewers,RC,,base,,1,,所持中,2025-11-21,"17,380円 / Hobby Box",topps.jp で購入した初Box。
,Topps,tp,tp_2025_US_#US064,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US064,,,,,base,,,,,,,
185,Topps,tp,tp_2025_US_#US065,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US065,Noah Cameron,Kansas City Royals,RC,,base,,1,,所持中,2025-11-21,"17,380円 / Hobby Box",topps.jp で購入した初Box。
,Topps,tp,tp_2025_US_#US066,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US066,,,,,base,,,,,,,
162,Topps,tp,tp_2025_US_#US067,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US067,Nic Enright,Cleveland Guardians,RC,,base,,1,,所持中,2025-11-21,"17,380円 / Hobby Box",topps.jp で購入した初Box。
,Topps,tp,tp_2025_US_#US068,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US068,,,,,base,,,,,,,
117,Topps,tp,tp_2025_US_#US069,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US069,Nick Pivetta,San Diego Padres,,,base,,1,,所持中,2025-11-21,"17,380円 / Hobby Box",topps.jp で購入した初Box。
109,Topps,tp,tp_2025_US_#US070,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US070,Dustin May,Los Angeles Dodgers,,,base,,1,,所持中,2025-11-21,"17,380円 / Hobby Box",topps.jp で購入した初Box。
118,Topps,tp,tp_2025_US_#US071,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US071,Jason Heyward,San Diego Padres,,,base,,1,,所持中,2025-11-21,"17,380円 / Hobby Box",topps.jp で購入した初Box。
75,Topps,tp,tp_2025_US_#US072,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US072,Tsung-Che Cheng,Pittsburgh Pirates,RC,,base,,1,,所持中,2025-11-21,"17,380円 / Hobby Box",topps.jp で購入した初Box。
,Topps,tp,tp_2025_US_#US073,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US073,,,,,base,,,,,,,
56,Topps,tp,tp_2025_US_#US074,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US074,Travis Jankowski,New York Mets,,,base,,1,,所持中,2025-11-21,"17,380円 / Hobby Box",topps.jp で購入した初Box。
140,Topps,tp,tp_2025_US_#US075,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US075,Andres Gimenez,Toronto Blue Jays,,,base,,1,,所持中,2025-11-21,"17,380円 / Hobby Box",topps.jp で購入した初Box。
119,Topps,tp,tp_2025_US_#US076,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US076,Martin Maldonado,San Diego Padres,,,base,,1,,所持中,2025-11-21,"17,380円 / Hobby Box",topps.jp で購入した初Box。
108,Topps,tp,tp_2025_US_#US077,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US077,Jack Dreyer,Los Angeles Dodgers,RC,,base,,1,,所持中,2025-11-21,"17,380円 / Hobby Box",topps.jp で購入した初Box。
,Topps,tp,tp_2025_US_#US078,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US078,,,,,base,,,,,,,
,Topps,tp,tp_2025_US_#US079,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US079,,,,,base,,,,,,,
201,Topps,tp,tp_2025_US_#US080,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US080,"Brent Rooker, Lawrence Butler",Athletics,CC,,base,,1,,所持中,2025-11-21,"17,380円 / Hobby Box",topps.jp で購入した初Box。
151,Topps,tp,tp_2025_US_#US081,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US081,Danny Jansen,Tampa Bay Rays,,,base,,1,,所持中,2025-11-21,"17,380円 / Hobby Box",topps.jp で購入した初Box。
,Topps,tp,tp_2025_US_#US082,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US082,,,,,base,,,,,,,
,Topps,tp,tp_2025_US_#US083,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US083,,,,,base,,,,,,,
,Topps,tp,tp_2025_US_#US084,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US084,,,,,base,,,,,,,
,Topps,tp,tp_2025_US_#US085,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US085,,,,,base,,,,,,,
146,Topps,tp,tp_2025_US_#US086,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US086,Aaron Judge,New York Yankees,SHC,,base,,1,,所持中,2025-11-21,"17,380円 / Hobby Box",topps.jp で購入した初Box。
41,Topps,tp,tp_2025_US_#US087,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US087,Drake Baldwin,Atlanta Braves,RC,,base,,2,,所持中,2025-11-21,"17,380円 / Hobby Box",topps.jp で購入した初Box。
,Topps,tp,tp_2025_US_#US088,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US088,,,,,base,,,,,,,
141,Topps,tp,tp_2025_US_#US089,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US089,Braydon Fisher,Toronto Blue Jays,RC,,base,,1,,所持中,2025-11-21,"17,380円 / Hobby Box",topps.jp で購入した初Box。
120,Topps,tp,tp_2025_US_#US090,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US090,Omar Cruz,San Diego Padres,RC,,base,,1,,所持中,2025-11-21,"17,380円 / Hobby Box",topps.jp で購入した初Box。
142,Topps,tp,tp_2025_US_#US091,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US091,Tyler Heineman,Toronto Blue Jays,,,base,,1,,所持中,2025-11-21,"17,380円 / Hobby Box",topps.jp で購入した初Box。
83,Topps,tp,tp_2025_US_#US092,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US092,Drew Avans,Milwaukee Brewers,RC,,base,,1,,所持中,2025-11-21,"17,380円 / Hobby Box",topps.jp で購入した初Box。
169,Topps,tp,tp_2025_US_#US093,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US093,Jace Jung,Detroit Tigers,RC,,base,,1,,所持中,2025-11-21,"17,380円 / Hobby Box",topps.jp で購入した初Box。
,Topps,tp,tp_2025_US_#US094,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US094,,,,,base,,,,,,,
202,Topps,tp,tp_2025_US_#US095,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US095,Michel Otanez,Athletics,RC,,base,,1,,所持中,2025-11-21,"17,380円 / Hobby Box",topps.jp で購入した初Box。
,Topps,tp,tp_2025_US_#US096,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US096,,,,,base,,,,,,,
132,Topps,tp,tp_2025_US_#US097,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US097,Brandon Young,Baltimore Orioles,RC,,base,,1,,所持中,2025-11-21,"17,380円 / Hobby Box",topps.jp で購入した初Box。
224,Topps,tp,tp_2025_US_#US098,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US098,Jake Burger,Texas Rangers,,,base,,1,,所持中,2025-11-21,"17,380円 / Hobby Box",topps.jp で購入した初Box。
46,Topps,tp,tp_2025_US_#US099,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US099,Max Meyer,Miami Marlins,,,base,,1,,所持中,2025-11-21,"17,380円 / Hobby Box",topps.jp で購入した初Box。
98,Topps,tp,tp_2025_US_#US100,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US100,Justin Verlander,San Francisco Giants,,,base,,1,,所持中,2025-11-21,"17,380円 / Hobby Box",topps.jp で購入した初Box。
,Topps,tp,tp_2025_US_#US101,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US101,,,,,base,,,,,,,
88,Topps,tp,tp_2025_US_#US102,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US102,Luis Mey,Cincinnati Reds,RC,,base,,1,,所持中,2025-11-21,"17,380円 / Hobby Box",topps.jp で購入した初Box。
,Topps,tp,tp_2025_US_#US103,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US103,,,,,base,,,,,,,
,Topps,tp,tp_2025_US_#US104,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US104,,,,,base,,,,,,,
157,Topps,tp,tp_2025_US_#US105,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US105,Marcelo Mayer,Boston Red Sox,RC,,base,,1,,所持中,2025-11-21,"17,380円 / Hobby Box",topps.jp で購入した初Box。
,Topps,tp,tp_2025_US_#US106,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US106,,,,,base,,,,,,,
37,Topps,tp,tp_2025_US_#US107,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US107,"Bryce Harper, Nick Castellanos",Philadelphia Phillies,CC,,base,,1,,所持中,2025-11-21,"17,380円 / Hobby Box",topps.jp で購入した初Box。
57,Topps,tp,tp_2025_US_#US108,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US108,Justin Hagenman,New York Mets,RC,,base,,1,,所持中,2025-11-21,"17,380円 / Hobby Box",topps.jp で購入した初Box。
32,Topps,tp,tp_2025_US_#US109,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US109,Robert Hassell III,Washington Nationals,RC,,base,,1,,所持中,2025-11-21,"17,380円 / Hobby Box",topps.jp で購入した初Box。
,Topps,tp,tp_2025_US_#US110,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US110,,,,,base,,,,,,,
,Topps,tp,tp_2025_US_#US111,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US111,,,,,base,,,,,,,
158,Topps,tp,tp_2025_US_#US112,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US112,Romy Gonzalez,Boston Red Sox,,,base,,1,,所持中,2025-11-21,"17,380円 / Hobby Box",topps.jp で購入した初Box。
42,Topps,tp,tp_2025_US_#US113,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US113,Drake Baldwin,Atlanta Braves,RC,,base,,1,,所持中,2025-11-21,"17,380円 / Hobby Box",topps.jp で購入した初Box。
133,Topps,tp,tp_2025_US_#US114,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US114,Grant Wolfram,Baltimore Orioles,RC,,base,,1,,所持中,2025-11-21,"17,380円 / Hobby Box",topps.jp で購入した初Box。
99,Topps,tp,tp_2025_US_#US115,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US115,Raymond Burgos,San Francisco Giants,RC,,base,,1,,所持中,2025-11-21,"17,380円 / Hobby Box",topps.jp で購入した初Box。
159,Topps,tp,tp_2025_US_#US116,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US116,Aroldis Chapman,Boston Red Sox,,,base,,1,,所持中,2025-11-21,"17,380円 / Hobby Box",topps.jp で購入した初Box。
192,Topps,tp,tp_2025_US_#US117,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US117,Logan VanWey,Houston Astros,RC,,base,,1,,所持中,2025-11-21,"17,380円 / Hobby Box",topps.jp で購入した初Box。
,Topps,tp,tp_2025_US_#US118,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US118,,,,,base,,,,,,,
,Topps,tp,tp_2025_US_#US119,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US119,,,,,base,,,,,,,
,Topps,tp,tp_2025_US_#US120,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US120,,,,,base,,,,,,,
211,Topps,tp,tp_2025_US_#US121,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US121,Ryan Johnson,Los Angeles Angels,RC,,base,,1,,所持中,2025-11-21,"17,380円 / Hobby Box",topps.jp で購入した初Box。
186,Topps,tp,tp_2025_US_#US122,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US122,Tyler Tolbert,Kansas City Royals,RC,,base,,1,,所持中,2025-11-21,"17,380円 / Hobby Box",topps.jp で購入した初Box。
,Topps,tp,tp_2025_US_#US123,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US123,,,,,base,,,,,,,
129,Topps,tp,tp_2025_US_#US124,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US124,Ryan Rolison,Colorado Rockies,RC,,base,,1,,所持中,2025-11-21,"17,380円 / Hobby Box",topps.jp で購入した初Box。
225,Topps,tp,tp_2025_US_#US125,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US125,Joc Pederson,Texas Rangers,,,base,,1,,所持中,2025-11-21,"17,380円 / Hobby Box",topps.jp で購入した初Box。
,Topps,tp,tp_2025_US_#US126,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US126,,,,,base,,,,,,,
38,Topps,tp,tp_2025_US_#US127,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US127,Mick Abel,Philadelphia Phillies,RC,,base,,1,,所持中,2025-11-21,"17,380円 / Hobby Box",topps.jp で購入した初Box。
65,Topps,tp,tp_2025_US_#US128,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US128,Kevin Alcantara,Chicago Cubs,RC,,base,,2,,所持中,2025-11-21,"17,380円 / Hobby Box",topps.jp で購入した初Box。
160,Topps,tp,tp_2025_US_#US129,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US129,Kristian Campbell,Boston Red Sox,RC,,base,,1,,所持中,2025-11-21,"17,380円 / Hobby Box",topps.jp で購入した初Box。
219,Topps,tp,tp_2025_US_#US130,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US130,Ben Williamson,Seattle Mariners,RC,,base,,1,,所持中,2025-11-21,"17,380円 / Hobby Box",topps.jp で購入した初Box。
47,Topps,tp,tp_2025_US_#US131,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US131,Cade Gibson,Miami Marlins,RC,,base,,1,,所持中,2025-11-21,"17,380円 / Hobby Box",topps.jp で購入した初Box。
,Topps,tp,tp_2025_US_#US132,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US132,,,,,base,,,,,,,
110,Topps,tp,tp_2025_US_#US133,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US133,Blake Treinen,Los Angeles Dodgers,,,base,,1,,所持中,2025-11-21,"17,380円 / Hobby Box",topps.jp で購入した初Box。
187,Topps,tp,tp_2025_US_#US134,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US134,Noah Murdock,Kansas City Royals,RC,,base,,1,,所持中,2025-11-21,"17,380円 / Hobby Box",topps.jp で購入した初Box。
100,Topps,tp,tp_2025_US_#US135,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US135,Landen Roupp,San Francisco Giants,,,base,,1,,所持中,2025-11-21,"17,380円 / Hobby Box",topps.jp で購入した初Box。
212,Topps,tp,tp_2025_US_#US136,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US136,Kyle Hendricks,Los Angeles Angels,,,base,,1,,所持中,2025-11-21,"17,380円 / Hobby Box",topps.jp で購入した初Box。
,Topps,tp,tp_2025_US_#US137,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US137,,,,,base,,,,,,,
,Topps,tp,tp_2025_US_#US138,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US138,,,,,base,,,,,,,
,Topps,tp,tp_2025_US_#US139,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US139,,,,,base,,,,,,,
66,Topps,tp,tp_2025_US_#US140,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US140,Cade Horton,Chicago Cubs,RC,,base,,1,,所持中,2025-11-21,"17,380円 / Hobby Box",topps.jp で購入した初Box。
,Topps,tp,tp_2025_US_#US141,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US141,,,,,base,,,,,,,
163,Topps,tp,tp_2025_US_#US142,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US142,Johnathan Rodriguez,Cleveland Guardians,,,base,,1,,所持中,2025-11-21,"17,380円 / Hobby Box",topps.jp で購入した初Box。
203,Topps,tp,tp_2025_US_#US143,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US143,CJ Alexander,Athletics,RC,,base,,1,,所持中,2025-11-21,"17,380円 / Hobby Box",topps.jp で購入した初Box。
48,Topps,tp,tp_2025_US_#US144,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US144,Jonathan Bermudez,Miami Marlins,RC,,base,,1,,所持中,2025-11-21,"17,380円 / Hobby Box",topps.jp で購入した初Box。
180,Topps,tp,tp_2025_US_#US145,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US145,Edgar Quero,Chicago White Sox,RC,,base,,1,,所持中,2025-11-21,"17,380円 / Hobby Box",topps.jp で購入した初Box。
134,Topps,tp,tp_2025_US_#US146,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US146,Kade Strowd,Baltimore Orioles,RC,,base,,1,,所持中,2025-11-21,"17,380円 / Hobby Box",topps.jp で購入した初Box。
,Topps,tp,tp_2025_US_#US147,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US147,,,,,base,,,,,,,
,Topps,tp,tp_2025_US_#US148,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US148,,,,,base,,,,,,,
193,Topps,tp,tp_2025_US_#US149,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US149,Victor Caratini,Houston Astros,,,base,,1,,所持中,2025-11-21,"17,380円 / Hobby Box",topps.jp で購入した初Box。
89,Topps,tp,tp_2025_US_#US150,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US150,Santiago Espinal,Cincinnati Reds,,,base,,1,,所持中,2025-11-21,"17,380円 / Hobby Box",topps.jp で購入した初Box。
,Topps,tp,tp_2025_US_#US151,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US151,,,,,base,,,,,,,
226,Topps,tp,tp_2025_US_#US152,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US152,Tyler Mahle,Texas Rangers,,,base,,1,,所持中,2025-11-21,"17,380円 / Hobby Box",topps.jp で購入した初Box。
,Topps,tp,tp_2025_US_#US153,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US153,,,,,base,,,,,,,
,Topps,tp,tp_2025_US_#US154,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US154,,,,,base,,,,,,,
,Topps,tp,tp_2025_US_#US155,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US155,,,,,base,,,,,,,
,Topps,tp,tp_2025_US_#US156,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US156,,,,,base,,,,,,,
194,Topps,tp,tp_2025_US_#US157,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US157,Colton Gordon,Houston Astros,RC,,base,,1,,所持中,2025-11-21,"17,380円 / Hobby Box",topps.jp で購入した初Box。
,Topps,tp,tp_2025_US_#US158,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US158,,,,,base,,,,,,,
,Topps,tp,tp_2025_US_#US159,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US159,,,,,base,,,,,,,
101,Topps,tp,tp_2025_US_#US160,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US160,Wilmer Flores,San Francisco Giants,,,base,,1,,所持中,2025-11-21,"17,380円 / Hobby Box",topps.jp で購入した初Box。
,Topps,tp,tp_2025_US_#US161,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US161,,,,,base,,,,,,,
,Topps,tp,tp_2025_US_#US162,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US162,,,,,base,,,,,,,
,Topps,tp,tp_2025_US_#US163,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US163,,,,,base,,,,,,,
,Topps,tp,tp_2025_US_#US164,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US164,,,,,base,,,,,,,
227,Topps,tp,tp_2025_US_#US165,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US165,Jack Leiter,Texas Rangers,,,base,,1,,所持中,2025-11-21,"17,380円 / Hobby Box",topps.jp で購入した初Box。
111,Topps,tp,tp_2025_US_#US166,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US166,Miguel Rojas,Los Angeles Dodgers,,,base,,1,,所持中,2025-11-21,"17,380円 / Hobby Box",topps.jp で購入した初Box。
170,Topps,tp,tp_2025_US_#US167,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US167,Chase Lee,Detroit Tigers,RC,,base,,1,,所持中,2025-11-21,"17,380円 / Hobby Box",topps.jp で購入した初Box。
90,Topps,tp,tp_2025_US_#US168,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US168,Eric Yang,Cincinnati Reds,RC,,base,,1,,所持中,2025-11-21,"17,380円 / Hobby Box",topps.jp で購入した初Box。
,Topps,tp,tp_2025_US_#US169,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US169,,,,,base,,,,,,,
,Topps,tp,tp_2025_US_#US170,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US170,,,,,base,,,,,,,
,Topps,tp,tp_2025_US_#US171,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US171,,,,,base,,,,,,,
33,Topps,tp,tp_2025_US_#US172,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US172,Daylen Lile,Washington Nationals,RC,,base,,1,,所持中,2025-11-21,"17,380円 / Hobby Box",topps.jp で購入した初Box。
147,Topps,tp,tp_2025_US_#US173,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US173,Mark Leiter Jr.,New York Yankees,,,base,,2,,所持中,2025-11-21,"17,380円 / Hobby Box",topps.jp で購入した初Box。
,Topps,tp,tp_2025_US_#US174,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US174,,,,,base,,,,,,,
188,Topps,tp,tp_2025_US_#US175,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US175,Jonathan India,Kansas City Royals,,,base,,1,,所持中,2025-11-21,"17,380円 / Hobby Box",topps.jp で購入した初Box。
,Topps,tp,tp_2025_US_#US176,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US176,,,,,base,,,,,,,
195,Topps,tp,tp_2025_US_#US177,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US177,AJ Blubaugh,Houston Astros,RC,,base,,1,,所持中,2025-11-21,"17,380円 / Hobby Box",topps.jp で購入した初Box。
,Topps,tp,tp_2025_US_#US178,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US178,,,,,base,,,,,,,
102,Topps,tp,tp_2025_US_#US179,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US179,Ryan Walker,San Francisco Giants,,,base,,1,,所持中,2025-11-21,"17,380円 / Hobby Box",topps.jp で購入した初Box。
,Topps,tp,tp_2025_US_#US180,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US180,,,,,base,,,,,,,
,Topps,tp,tp_2025_US_#US181,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US181,,,,,base,,,,,,,
,Topps,tp,tp_2025_US_#US182,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US182,,,,,base,,,,,,,
,Topps,tp,tp_2025_US_#US183,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US183,,,,,base,,,,,,,
39,Topps,tp,tp_2025_US_#US184,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US184,Bryce Harper,Philadelphia Phillies,SHC,,base,,1,,所持中,2025-11-21,"17,380円 / Hobby Box",topps.jp で購入した初Box。
62,Topps,tp,tp_2025_US_#US185,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US185,Matthew Liberatore,St. Louis Cardinals,,,base,,1,,所持中,2025-11-21,"17,380円 / Hobby Box",topps.jp で購入した初Box。
34,Topps,tp,tp_2025_US_#US186,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US186,Cole Henry,Washington Nationals,RC,,base,,1,,所持中,2025-11-21,"17,380円 / Hobby Box",topps.jp で購入した初Box。
213,Topps,tp,tp_2025_US_#US187,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US187,Caden Dana,Los Angeles Angels,RC,,base,,1,,所持中,2025-11-21,"17,380円 / Hobby Box",topps.jp で購入した初Box。
49,Topps,tp,tp_2025_US_#US188,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US188,Graham Pauley,Miami Marlins,,,base,,1,,所持中,2025-11-21,"17,380円 / Hobby Box",topps.jp で購入した初Box。
43,Topps,tp,tp_2025_US_#US189,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US189,Eli White,Atlanta Braves,,,base,,1,,所持中,2025-11-21,"17,380円 / Hobby Box",topps.jp で購入した初Box。
76,Topps,tp,tp_2025_US_#US190,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US190,Matt Gorski,Pittsburgh Pirates,RC,,base,,1,,所持中,2025-11-21,"17,380円 / Hobby Box",topps.jp で購入した初Box。
50,Topps,tp,tp_2025_US_#US191,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US191,Cal Quantrill,Miami Marlins,,,base,,1,,所持中,2025-11-21,"17,380円 / Hobby Box",topps.jp で購入した初Box。
189,Topps,tp,tp_2025_US_#US192,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US192,John Rave,Kansas City Royals,RC,,base,,1,,所持中,2025-11-21,"17,380円 / Hobby Box",topps.jp で購入した初Box。
171,Topps,tp,tp_2025_US_#US193,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US193,Jackson Jobe,Detroit Tigers,RC,,base,,1,,所持中,2025-11-21,"17,380円 / Hobby Box",topps.jp で購入した初Box。
40,Topps,tp,tp_2025_US_#US194,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US194,Max Lazar,Philadelphia Phillies,RC,,base,,1,,所持中,2025-11-21,"17,380円 / Hobby Box",topps.jp で購入した初Box。
,Topps,tp,tp_2025_US_#US195,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US195,,,,,base,,,,,,,
,Topps,tp,tp_2025_US_#US196,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US196,,,,,base,,,,,,,
,Topps,tp,tp_2025_US_#US197,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US197,,,,,base,,,,,,,
172,Topps,tp,tp_2025_US_#US198,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US198,Bryan Sammons,Detroit Tigers,RC,,base,,1,,所持中,2025-11-21,"17,380円 / Hobby Box",topps.jp で購入した初Box。
